id,team,league_i,pos,name,gift,info,acc,pas,df,ctr,lvl,age,sk_pot,skill_1,skill_2,skill_1_level,skill_2_level,data_reliability
c6078ccf-316c-43b8-81df-68cb84fababb,"Loures FC (Portugal)
",0,GK,De Barros,1,Top-2,6.0,13.0,34.0,18.0,18.0,31.0,6.0,,,,,1.0
177c8658-7d15-4f8c-a0f9-994b74d946f5,"Loures FC (Portugal)
",0,CD,Merenda,1,,8.0,11.0,36.0,16.0,18.0,21.0,6.0,,,,,1.0
54d48a0f-b530-4ed7-8ba4-4f88a0b3686c,"Loures FC (Portugal)
",0,D,Merenda,1,,3.0,13.0,30.0,16.0,15.0,33.0,6.0,,,1.0,,1.0
48f27a92-437e-4e0c-87ae-f61e09dc6cb6,"Loures FC (Portugal)
",0,D,Meneses,1,,8.0,16.0,30.0,17.0,18.0,32.0,6.0,,,1.0,,1.0
46314310-91fd-4498-bb69-6408e0f92edf,"Loures FC (Portugal)
",0,CD,Mascarenhas,2,Top-3,9.0,16.0,26.0,14.0,16.0,19.0,7.0,,,,,1.0
89eff45e-593f-4c9a-b5bd-cc8b24de877a,"Loures FC (Portugal)
",0,RD,Negro,0,,12.0,7.0,24.0,28.0,18.0,22.0,5.0,,,,,1.0
791ab7e6-6936-47a0-bae7-0c5823f3aa67,"Loures FC (Portugal)
",0,CM,Avilla,0,,10.0,28.0,24.0,6.0,,32.0,5.0,,,,,0.875
86152082-0017-4416-8801-c79face43653,"Loures FC (Portugal)
",0,MF,Maysonet,0,Top-2,12.0,32.0,6.0,9.0,14.0,25.0,5.0,,,,,1.0
85d93256-2895-4242-878c-61cf37e4fa1c,"Loures FC (Portugal)
",0,?,Mirante,1,Top-2,25.0,10.0,15.0,15.0,16.0,20.0,6.0,,,,,1.0
3226e4ab-7365-4b2a-927e-27a1b3f6d5b6,"Loures FC (Portugal)
",0,FW,Gregorio,0,Top-3,25.0,11.0,14.0,21.0,18.0,21.0,5.0,,,,,1.0
be110736-df8b-4a9f-a0c7-91bb0e4be644,"Loures FC (Portugal)
",0,CF,Manso T,1,-1p-,34.0,11.0,8.0,12.0,16.0,22.0,6.0,,,,,1.0
e5cce0fe-9032-46d5-af3f-949afd3b65c0,"Loures FC (Portugal)
",0,G,Favela,0,,10.0,17.0,19.0,4.0,11.0,30.0,5.0,,,,,1.0
c1e21c26-32ae-4bcf-96af-f44ef0182a6b,"Loures FC (Portugal)
",0,D,Alegre,1,,14.0,3.0,19.0,20.0,13.0,24.0,6.0,,,,,1.0
f0f30840-7b16-4a6c-ab6e-a0ddcfd1d335,"Loures FC (Portugal)
",0,D,Casa,0,,7.0,9.0,18.0,16.0,11.0,26.0,5.0,,,,,1.0
36d2821a-2c5b-4d01-946c-1b30afe12d65,"Loures FC (Portugal)
",0,CD,Pequeno,0,,7.0,11.0,21.0,14.0,12.0,20.0,5.0,,,,,1.0
6f9f65fd-0b0f-4aea-9df2-f8aa94f255b9,"Loures FC (Portugal)
",0,D,Cerquetra,0,,14.0,19.0,21.0,5.0,14.0,22.0,5.0,,,,,1.0
